model,W,target_entropy_over_kB,x_crossover
stick,1,0.346573590280,1.225043686957
stick,2,0.346573590280,1.367491430401
stick,3,0.346573590280,1.445817867180
stick,4,0.346573590280,1.495597765340
L-shaped,1,0.693147180560,infinity
L-shaped,2,0.693147180560,3.168499787586
L-shaped,3,0.693147180560,5.559039618969
L-shaped,4,0.693147180560,3.504893859342
