model,W,ground_slope_per_column,ground_bonds_per_particle,ground_adjacency_rho,ground_zero_edges,s_infinity_over_kB
stick,1,1.000000000000,1.000000000000,1.000000000000,1,0.000000000000
stick,2,2.000000000000,1.000000000000,1.000000000000,1,0.000000000000
stick,3,3.000000000000,1.000000000000,1.000000000000,1,0.000000000000
stick,4,4.000000000000,1.000000000000,1.000000000000,1,0.000000000000
L-shaped,1,0.500000000000,0.500000000000,2.000000000000,8,0.693147180560
L-shaped,2,2.000000000000,1.000000000000,1.000000000000,4,0.000000000000
L-shaped,3,2.500000000000,0.833333333333,4.000000000000,128,0.462098120373
L-shaped,4,4.000000000000,1.000000000000,1.000000000000,16,0.000000000000
