model,x,s_W1_over_kB,s_W2_over_kB,s_W3_over_kB,s_W4_over_kB
stick,1.0,0.449623910183,0.525429303185,0.563935227400,0.583359310170
stick,2.0,0.105752566513,0.119807051300,0.127878356457,0.133017411610
stick,4.0,0.003097949109,0.003141766612,0.003157181093,0.003164905226
stick,6.0,0.000080163650,0.000080310226,0.000080359410,0.000080384003
L-shaped,1.0,1.355994499139,1.296998065684,1.319013141915,1.317283829684
L-shaped,2.0,1.275350289448,1.041344991617,1.166079180957,1.119930765930
L-shaped,4.0,1.058481035647,0.496249092285,0.857463564716,0.565149815071
L-shaped,6.0,0.884012151666,0.216713443428,0.658733566172,0.233364576122
