model,W,point_label,eps_nd,eps_d,mu_critical_input,rho_exact_strip,contacts_per_site_exact,directional_bonds_per_site_exact,s_total_exact_per_site,s_occupancy_conditional_per_site,s_internal_conditional_per_site,s_internal_exact_per_particle,s_internal_avgE_per_particle,s_internal_isolatedZ_per_particle,abs_error_avgE,abs_error_isolatedZ,closer_closure,critical_input_status,source
stick,3,exact lattice-gas anchor,1.7627471740390859,0.0,4.218641528638117,0.4999999999999984,0.8535533905932701,0.21338834764831752,0.6845210194659638,0.3379474291859925,0.3465735902799713,0.6931471805599448,0.0,0.6931471805599453,0.6931471805599448,4.440892098500626e-16,isolated-Z,exact anchor,exact 2D lattice-gas anchor
stick,4,exact lattice-gas anchor,1.7627471740390859,0.0,4.218641528638117,0.4999999999999992,0.8535533905932717,0.213388347648318,0.6701324911637214,0.3235589008837484,0.3465735902799718,0.6931471805599447,0.0,0.6931471805599453,0.6931471805599447,5.551115123125783e-16,isolated-Z,exact anchor,exact 2D lattice-gas anchor
stick,3,weak directional,1.5127171674459416,1.0,4.293145650376483,0.5052865521315367,0.862121446555268,0.29910955769223246,0.6463928902140852,0.3389258043556251,0.3074670858584594,0.6085004331926475,0.0,0.6931471805599453,0.6085004331926475,0.08464674736729783,isolated-Z,logged MC + FSS-checked,results_logs/all_trace_coexist_stick.out
stick,4,weak directional,1.5127171674459416,1.0,4.293145650376483,0.4767900365705379,0.8056097370255507,0.27185609723620496,0.6192152184359374,0.3239186482545746,0.2952965701813639,0.6193429969832784,0.0,0.6931471805599453,0.6193429969832784,0.07380418357666685,isolated-Z,logged MC + FSS-checked,results_logs/all_trace_coexist_stick.out
stick,3,intermediate directional,1.2798462604243968,1.8,4.41489350074435,0.57011851734681,0.9901636627249543,0.4491489200873063,0.5371243787607204,0.3333668170440917,0.20375756171662815,0.3573950950845541,0.0,0.6931471805599453,0.3573950950845541,0.3357520854753912,isolated-Z,logged MC + FSS-checked,results_logs/all_trace_coexist_stick.out
stick,4,intermediate directional,1.2798462604243968,1.8,4.41489350074435,0.5303766470139845,0.9129366337005008,0.405406887819008,0.5117725935958508,0.3162830337222911,0.19548955987355915,0.36858628858220577,0.0,0.6931471805599453,0.36858628858220577,0.3245608919777395,isolated-Z,logged MC + FSS-checked,results_logs/all_trace_coexist_stick.out
stick,3,upper FSS-checked directional,1.2148321910996245,1.96,4.4165650449707385,0.5877029961079495,1.0232990865861697,0.48305719523780355,0.5097060807123676,0.3337043865813028,0.17600169413106506,0.29947387591459035,0.0,0.6931471805599453,0.29947387591459035,0.39367330464535494,avgE,logged MC + FSS-checked,results_logs/all_trace_coexist_stick.out
stick,4,upper FSS-checked directional,1.2148321910996245,1.96,4.4165650449707385,0.5676170446361175,0.986947866693269,0.45763118100142625,0.4857001865499222,0.31403292793670856,0.17166725861321397,0.302434995980899,0.0,0.6931471805599453,0.302434995980899,0.3907121845790463,avgE,logged MC + FSS-checked,results_logs/all_trace_coexist_stick.out
stick,3,high directional,1.10541178508795,2.2,4.429688173189433,0.5304252332850229,0.9003440355506743,0.4527817740481626,0.46225489514729584,0.34295341442133376,0.1193014807259618,0.2249166767333171,0.0,0.6931471805599453,0.2249166767333171,0.4682305038266282,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
stick,4,high directional,1.10541178508795,2.2,4.429688173189433,0.4849336936685918,0.8158952854840075,0.4047692757083009,0.4287793982073089,0.3187869328075795,0.10999246539973007,0.22681959788692255,0.0,0.6931471805599453,0.22681959788692255,0.46632758267302277,avgE,logged MC critical-line point,results_logs/all_trace_coexist_stick.out
